frame;time;player_pos_x;player_pos_y;player_pos_z;player_up_x;player_up_y;player_up_z;rel_r_hand_x;rel_r_hand_y;rel_r_hand_z;r_hand_up_x;r_hand_up_y;r_hand_up_z;gaze_vec_x;gaze_vec_y;gaze_vec_z;gaze_p_x;gaze_p_y;gaze_p_z;obj_tag;gaze_to_screen_x;gaze_to_screen_y;gaze_to_screen_z;obj_interacted_with
1;08-04-2022 16:08:58 416;-2,0328;1,3113;1,4714;-0,0737;0,9450;0,3187;0,1860;-0,0471;0,3330;0,1515;0,6510;-0,7438;-0,0549;0,1766;0,9827;-1,9760;1,0710;2,2380;5;1.475,8790;1.387,7160;0,7855;0
2;08-04-2022 16:08:58 433;-2,0349;1,3134;1,4718;-0,0689;0,9483;0,3097;0,1851;-0,0529;0,3349;0,1569;0,6510;-0,7427;-0,0686;0,2001;0,9774;-1,9760;1,0710;2,2380;5;1.479,0550;1.374,6430;0,7854;0
3;08-04-2022 16:08:58 445;-2,0353;1,3140;1,4723;-0,0651;0,9520;0,2990;0,1855;-0,0574;0,3339;0,1589;0,6505;-0,7427;-0,0831;0,1722;0,9815;-1,9760;1,0710;2,2380;5;1.486,1840;1.361,4420;0,7841;0
4;08-04-2022 16:08:58 455;-2,0362;1,3151;1,4725;-0,0569;0,9552;0,2903;0,1850;-0,0612;0,3339;0,1601;0,6513;-0,7417;-0,0857;0,1796;0,9800;-1,9760;1,0710;2,2380;5;1.489,5340;1.350,3270;0,7836;0
5;08-04-2022 16:08:58 466;-2,0370;1,3163;1,4729;-0,0506;0,9590;0,2787;0,1849;-0,0665;0,3333;0,1617;0,6510;-0,7417;-0,0889;0,1832;0,9790;-1,9760;1,0710;2,2380;5;1.493,5990;1.335,6250;0,7827;0
6;08-04-2022 16:08:58 478;-2,0385;1,3179;1,4733;-0,0453;0,9629;0,2659;0,1842;-0,0726;0,3321;0,1630;0,6492;-0,7430;-0,0836;0,1498;0,9852;-1,9760;1,0710;2,2380;5;1.500,0100;1.319,0010;0,7814;0
7;08-04-2022 16:08:58 490;-2,0402;1,3196;1,4735;-0,0405;0,9666;0,2529;0,1869;-0,0791;0,3303;0,1644;0,6480;-0,7437;-0,0946;0,1319;0,9867;-1,9760;1,0710;2,2380;5;1.511,7500;1.302,0100;0,7792;0
8;08-04-2022 16:08:58 500;-2,0422;1,3211;1,4734;-0,0370;0,9701;0,2400;0,1912;-0,0857;0,3272;0,1662;0,6456;-0,7453;-0,1034;0,1489;0,9834;-1,9760;1,0710;2,2380;5;1.529,8650;1.285,0490;0,7757;0
9;08-04-2022 16:08:58 511;-2,0437;1,3223;1,4733;-0,0319;0,9731;0,2282;0,1973;-0,0913;0,3233;0,1697;0,6434;-0,7465;-0,1029;0,1257;0,9867;-1,9760;1,0710;2,2380;5;1.552,7490;1.269,7630;0,7711;0
10;08-04-2022 16:08:58 522;-2,0457;1,3235;1,4732;-0,0275;0,9751;0,2203;0,2026;-0,0956;0,3202;0,1708;0,6415;-0,7479;-0,0786;0,1187;0,9898;-2,5000;0,0000;2,5000;0;1.088,7340;547,2150;1,3680;0
