Frame;Timestamp;Player Position;Player Rotation;Right Hand Position;Right Hand Rotation;Left Hand Position;Left Hand Rotation;Gaze Vector;Gaze Position;Gaze Object Tag;
0;24-03-2022 19:20:38 748;(6.0068, 0.9943, -1.8968);(-0.0881, 0.8824, 0.3694, 0.2779);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 763;(6.0062, 0.9943, -1.8967);(-0.0873, 0.8827, 0.3697, 0.2765);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 770;(6.0059, 0.9943, -1.8967);(-0.0868, 0.8832, 0.3698, 0.2750);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 778;(6.0054, 0.9944, -1.8967);(-0.0863, 0.8836, 0.3700, 0.2737);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 785;(6.0050, 0.9945, -1.8967);(-0.0858, 0.8840, 0.3702, 0.2725);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 799;(6.0046, 0.9945, -1.8967);(-0.0854, 0.8843, 0.3705, 0.2711);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 807;(6.0041, 0.9946, -1.8968);(-0.0847, 0.8846, 0.3709, 0.2698);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 819;(6.0037, 0.9947, -1.8969);(-0.0839, 0.8849, 0.3711, 0.2686);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 829;(6.0037, 0.9950, -1.8971);(-0.0829, 0.8853, 0.3713, 0.2673);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 842;(6.0032, 0.9954, -1.8973);(-0.0816, 0.8858, 0.3714, 0.2659);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
