Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
0;07/03/2022 13:18:50 732;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1;07/03/2022 13:18:50 780;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
2;07/03/2022 13:18:51 517;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
3;07/03/2022 13:18:51 566;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
4;07/03/2022 13:18:51 575;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
5;07/03/2022 13:18:51 580;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
6;07/03/2022 13:18:51 586;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
7;07/03/2022 13:18:51 592;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
8;07/03/2022 13:18:51 597;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
9;07/03/2022 13:18:51 602;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
